VARIANT_SKU, NORMALIZED_ROS 
TP13010-01-Q6, 0.28 
B86020-17, 0.02 
D124002-01-K,
R141027-07, 0.03 
R120013-04, 0.10 
R88025-05, 0.00 
R88021-01, 0.03 
B86101-23,
D125006-01,
R61009-01, 0.03 
D056014-02, 0.29 
T58013-01, 0.45 
T58028-01,
B149001-01,
B121014-03, 0.22 
B86008-21,
T84012-02, 0.32 
B121026-08, 0.21 
B117001-16, 1.07 
01027841-012-CK-B-000, -   
R141003-08, 0.00 
T58049-01,
00004556-001-FL-W-001-B2, -   
00004556-003-KI-W-006-B3, 0.01 
00004556-008-KI-S-007-B3, -   
R121003-08, 0.00 
R120049-01, 0.04 
B121005-01, 1.00 
R141017-10, -   
00004556-001-QU-W-002-B3, -   
R120034-08,
D70005-01-P, 0.02 
P84068-01-C, 0.07 
R93033-07, 0.01 
00004556-009-FL-S-007-B2, -   
P54005-01-C, 0.04 
00004556-007-FL-S-006-B1, -   
T84008-01,
00004556-001-TW-M-007-B3, -   
B86001-16, 0.12 
00004556-003-FL-W-007-B2, -   
P84011-01-C, 0.22 
00004556-005-CK-S-001-B1, -   
00004556-006-TW-S-002-B2, -   
R141013-05, 0.04 
00004556-001-KI-M-002-B2, -   
T12001-01, 0.13 
00004556-005-FL-S-007-B2, -   
R141011-04, 0.00 
000004556-004-FL-S-002-B1, -   
R120005-07, 0.02 
B83002-01,
B15203-06, 0.06 
R00002-13, 0.14 
00004556-001-TW-W-004-B3, -   
B86014-20,
00004556-006-CK-S-007-B2, -   
R120016-03,
00004556-004-KI-S-007-B2, 0.00 
00004556-003-TW-M-005-B3, -   
B86020-07, 0.03 
B66006-01, 0.80 
B120002-01, 0.23 
T58032-01, 0.33 
R93042-05, 0.02 
P120004-01-C, 0.47 
00004556-001-FL-M-005-B1, -   
B86101-18, 0.05 
B86101-17,
P122005-01-C, 0.01 
00004556-001-TW-W-007-B1, -   
R93012-10, 0.04 
P056076-01-C, 0.32 
B121026-10, 0.14 
00004556-008-KI-S-007-B2, -   
B86001-33, 0.05 
R88037-07, 0.05 
R171017-06, 0.03 
R93022-05, 0.02 
D119001-01, 0.26 
R141018-06, 0.02 
D155001-05, 0.06 
00004556-009-KI-S-004-B1, 0.02 
P56020-02-C, 0.03 
D84017-02, 0.52 
R120041-06, 0.12 
00004556-005-QU-S-001-B1, 0.00 
B15201-04, 0.01 
00004556-002-TW-M-002-B2, -   
00004556-002-KI-W-004-B2, 0.03 
00004556-002-KI-M-002-B3, 0.01 
P56058-01-C,
R171017-08, 0.03 
R93010-04, 0.06 
P126007-01-C, 0.42 
R88013-02, 0.01 
B86101-02,
00004556-002-TW-W-003-B2, -   
B15201-05, 0.04 
D115007-01, 0.04 
R121001-08, 0.01 
00004556-002-FL-M-005-B1, 0.00 
00004556-001-KI-W-007-B2, -   
R93014-03, 0.00 
B112003-02,
R120040-07, 0.02 
00004556-002-QU-W-003-B2, -   
B86010-31, 0.31 
00004556-001-TW-W-001-B1, -   
01027841-012-KI-W-000, 0.02 
00004556-002-TW-W-006-B1, -   
00004556-002-QU-W-003-B1, -   
B86016-17,
00004556-001-TW-M-005-B2, -   
00004556-001-CK-W-001-B3, -   
00004556-009-TW-S-006-B3, -   
00004556-003-TW-W-006-B1, -   
00004556-001-CK-M-005-B1, -   
00004556-004-TW-S-001-B1, -   
B86013-18, 0.06 
A65000-02, -   
B15205-06, 0.05 
00004556-007-FL-S-002-B3, -   
T58030-02, 0.18 
TP70001-01-Q4, 0.30 
R93034-08, 0.02 
B86012-21,
B15204-07, 2.21 
R88025-01,
F184005-01, 0.39 
R158001-15, 0.01 
B86018-31, 0.10 
R121001-07, 0.01 
00004556-006-FL-S-006-B1, -   
00004556-008-FL-S-004-B3, 0.00 
00004556-004-CK-S-005-B2, -   
00004556-002-QU-M-001-B1, 0.04 
00004556-009-FL-S-007-B3, -   
R93040-05, 0.07 
B15218-03, 0.10 
D121016-02, 1.35 
B86011-17, 0.12 
A65039-01, -   
A65002-01, -   
B86100-10, 0.01 
0118316-015-U-W-006, 0.00 
B86009-02, 0.06 
