SKU,SKU_DESCRIPTION,CATEGORY,SUB_CATEGORY,COLOR_NAME,COLLECTION,SIZE,PLANNING_CATEGORY,LAUNCH_YEAR_SEASON,LAUNCH_DATE,PLANNING_STATUS,ASSORTMENT_STATUS,FULL_PRICE_RETAIL,VENDOR_NAME,VENDOR_COST,VENDOR_COST_USD,ITEM_MOQS
FAB-JB-003,Fabric - 1 Yard - Cotton Velvet - Eucalyptus,FURNITURE,FABRIC,EUCALYPTUS,CUSTOM FURNITURE,,FURNITURE - STOCKED,2023 FALL,2023-09-12 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,JB Martin,20.25,20.25,
B86002-02-K,Stonewashed Linen Bed Bundle (S/7) - Queen - Sundown Series,BEDDING,BED BUNDLES,SUNDOWN,STONEWASHED LINEN,QUEEN,BEDDING - SHEETS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Sampedro,0,0,
R93036-08,Bhakti Area Rug - 10x14 - Midnight,RUGS,AREA,MIDNIGHT,BHAKTI,10' x 14',RUGS - AREA + ROUND,2024 SPRING,2024-03-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,1599,Qayyum,266.3,266.3,
D127001-02-Q2,Linen Stocking,ACCENTS,HOLIDAY,,,,HOLIDAY,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,165,,,0,
00004556-001-CK-W-005-B3,LAUREL BED - TALL - CK-W-005 - SR/SL,FURNITURE,BEDS,,LAUREL,CAL-KING,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,326,326,
P84071-01-C,"Ayana Block Print Pillow - Aegean - 22""",PILLOWS,SQUARE,AEGEAN,AYANA,"22"" x 22""",PILLOWS - ACCENT,2025 SUMMER,2025-08-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,139,Gitto,21.5,21.5,
00004556-009-CK-S-004-B3,SIERRA BED - CK-S-004 - SR/SL,FURNITURE,BEDS,,SIERRA,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,420,420,
R141010-05,Lata Hand-Knotted Area Rug - 6x9 - Ecru,RUGS,AREA,ECRU,LATA,6' x 9',RUGS - AREA + ROUND,2024 SPRING,,ARCHIVED,PD - CANCELLED,999,RMC,283.5,283.5,
00004556-005-CK-S-007-B3,ALPINE BED - LOW - CK-S-007 - SR/SL,FURNITURE,BEDS,,ALPINE,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,420,420,
D12801-01,Book - Sunday Suppers,ACCENTS,BOOKS,,,,ACCENTS - BOOKS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
T72001-01,Atacama Alpaca Throw,BLANKETS,THROWS : ALPACA,CHARCOAL,ATACAMA,,BLANKETS - THROWS,2019 CHILE,2019-06-25 00:00:00.000,ARCHIVED,ARCHIVED,299,Fundacion Artesanias de Chile,123,123,
00004556-008-KI-S-007-B2,SUMMIT BED - KI-S-007 - FB,FURNITURE,BEDS,,SUMMIT,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,395,395,
D142001-03,Beeswax Taper Candles - S/2 - Latte,ACCENTS,CANDLES/CANDLEHOLDERS,LATTE,ACCESSORIES,,ACCENTS - CANDLE & DEC-ACC,2023 HOLIDAY,2023-10-12 00:00:00.000,ARCHIVED,ARCHIVED,29,Coutume,7.6,7.6,
00004556-003-KI-W-003-B2,Ridge Bed - KI-W-003 - FB,FURNITURE,BEDS,WALNUT,RIDGE,KING,FURNITURE - MTO,2023 SPRING,2023-03-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1330,1330,
00004556-001-CK-W-005-B2,LAUREL BED - TALL - CK-W-005 - FB,FURNITURE,BEDS,,LAUREL,CAL-KING,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,549,549,
D84015-01,Inika Kantha Quilt - Blush,BEDDING,QUILTS,BLUSH,INIKA KANTHA,,BEDDING - QUILTS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,130,,,0,
D62012-01-K,Sahar Bath Set - Ivory & Black,BATH,TOWEL : BATH TOWEL SET,,,,BATH - TOWELS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
D121014-02,Organic Plush Towels - 1 Bath Towel - Charcoal,BATH,TOWEL : BATH TOWEL,CHARCOAL,ORGANIC PLUSH,,BATH - TOWELS,2024 SPRING,2024-03-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,44,Veritas,10.73,10.73,
R93001-04,Anik Recycled Area Rug - 5x8 - Clay,RUGS,AREA,CLAY,ANIK,5' x 8',RUGS - AREA + ROUND,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
B86016-08-K,Stonewashed Linen Bed Bundle (S/7) - Cal-King - Sand Stripe,BEDDING,BED BUNDLES,SAND THIN STRIPE,STONEWASHED LINEN,CAL-KING,BEDDING - SHEETS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Sampedro,0,0,
R61001-02,Amal Beni Ourain Area Rug - 8x10,RUGS,AREA,CREAM,AMAL,8' x 10',RUGS - AREA + ROUND,2017 MORROCCO,2017-03-10 00:00:00.000,ARCHIVED,ARCHIVED,2299,Anou (MAD),1006.87,103.923167434,
B121005-02,Organic Resort Cotton Fitted Sheet - Queen - Sand Stripe,BEDDING,FITTED SHEETS,SAND STRIPE,ORGANIC RESORT COTTON,QUEEN,BEDDING - SHEETS ETC.,2020 TURKEY,2020-10-07 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,139,Veritas,44.63,44.63,
00004556-001-CK-M-001-B3,Laurel Bed - Tall - CK-M-001 - SR/SL,FURNITURE,BEDS,MAPLE,LAUREL,CAL-KING,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,307,307,
00004556-006-KI-S-006-B2,ALPINE BED - MEDIUM - KI-S-006 - FB,FURNITURE,BEDS,,ALPINE,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,352,352,
PROD-008,PRODUCT SAMPLE 8,Z. MISCELLANEOUS,PRODUCT SAMPLES,,PRODUCT SAMPLES,,Z. MISC,,,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,,Made and Modern,0,0,
00004556-002-CK-M-002-B2,Laurel Bed - Low - CK-M-002 - FB,FURNITURE,BEDS,MAPLE,LAUREL,CAL-KING,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,413,413,
01027841-012-TW-B-001,Potomac Two-Poster Bed - Black Ash - TW-B-001,FURNITURE,BEDS,,POTOMAC,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,3299,Gat Creek,1241,1241,
00004556-009-TW-S-001-B1,SIERRA BED - TW-S-001 - HB,FURNITURE,BEDS,,SIERRA,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,676,676,
B86015-28,Stonewashed Linen Quilt - King/Cal-King - Truffle,BEDDING,QUILTS,TRUFFLE,STONEWASHED LINEN,KING/CAL-KING,BEDDING - QUILTS ETC.,2024 FALL,2024-09-24 00:00:00.000,ARCHIVED,ARCHIVED,329,Sampedro (EUR),133.47,155.4218109,
00004556-003-TW-M-002-B3,Ridge Bed - TW-M-002 - SR/SL,FURNITURE,BEDS,MAPLE,RIDGE,TWIN,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,340,340,
A65000-10,Frame - White Deep - 40x60,ACCENTS,ART,WHITE,ART,"40"" x 60""",ACCENTS - ART,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,0,"Simply Framed, Inc",1699,1699,
R88014-03,Shylah Area Rug - 8x10 - Flax,RUGS,AREA,FLAX,SHYLAH,8' x 10',RUGS - AREA + ROUND,2020 FALL,2020-09-15 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,1499,Loloi Rugs,240,240,
00004556-003-CK-M-007-B2,Ridge Bed - CK-M-007 - FB,FURNITURE,BEDS,MAPLE,RIDGE,CAL-KING,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,622,622,
C97009-01-T,Torres Round Leather Storage Ottoman - Medium - Natural - Top Only (For Replacement),FURNITURE,OTTOMANS,NATURAL,TORRES,MEDIUM,FURNITURE - STOCKED,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,0,Safari Velution (EUR),0,0,
A65093-01,Chile Desert By Hazel & Pine - 20x30 - Print Only,ACCENTS,ART,MULTI/MIXED,HAZEL & PINE,"20"" x 30""",ACCENTS - ART,UNKNOWN,2020-01-01 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,219,"Simply Framed, Inc",58.2,58.2,
