SKU,MONTH,UNIT DEMAND,UNIT SALES
P20001-05,11/1/2025,458,489
P20001-24,11/1/2025,380,477
P20001-25,11/1/2025,345,384
P20001-23,11/1/2025,281,325
D104007-01,11/1/2025,126,302
P20001-36,11/1/2025,360,285
D104009-01,11/1/2025,136,258
D104008-01,11/1/2025,99,248
D104010-01,11/1/2025,105,168
D104011-01,11/1/2025,115,156
D104009-02,11/1/2025,91,134
R00002-05,11/1/2025,84,101
D104010-02,11/1/2025,58,100
D104011-02,11/1/2025,66,92
D104001-02,11/1/2025,103,89
D120001-05,11/1/2025,95,89
P20001-41,11/1/2025,65,87
B86002-16,11/1/2025,90,73
D104007-03,11/1/2025,41,72
D120002-04,11/1/2025,64,71
D120001-01,11/1/2025,84,70
B66002-01,11/1/2025,64,68
D121007-03,11/1/2025,35,66
P20001-35,11/1/2025,60,66
R00002-04,11/1/2025,62,66
B86007-26,11/1/2025,54,64
D120001-02,11/1/2025,81,64
T58041-01,11/1/2025,16,62
D120001-04,11/1/2025,75,60
D120008-01,11/1/2025,54,59
B86003-01,11/1/2025,56,58
D120005-01,11/1/2025,93,57
B84001-02,11/1/2025,30,56
D120001-03,11/1/2025,19,56
B86003-08,11/1/2025,55,55
D086001-05,11/1/2025,108,55
B66005-01,11/1/2025,46,55
D104008-03,11/1/2025,33,54
P120011-02-C,11/1/2025,62,53
B86002-01,11/1/2025,48,52
R00002-10,11/1/2025,54,52
B86002-27,11/1/2025,46,50
B86008-26,11/1/2025,60,50
B86008-30,11/1/2025,52,48
P120003-04-C,11/1/2025,58,47
D140023-01,11/1/2025,20,47
B86002-29,11/1/2025,37,46
B86002-26,11/1/2025,44,46
D086001-07,11/1/2025,71,46
B86003-16,11/1/2025,75,46
D140024-01,11/1/2025,20,45
D121010-03,11/1/2025,54,44
B66002-02,11/1/2025,35,44
B86012-07,11/1/2025,29,43
D143002-01,11/1/2025,27,42
D150008-01,11/1/2025,53,42
P120008-01-C,11/1/2025,70,42
P120010-04-C,11/1/2025,61,41
B86012-16,11/1/2025,45,40
B86002-08,11/1/2025,35,40
B66009-01,11/1/2025,44,40
P120019-01-C,11/1/2025,31,40
D84017-02,11/1/2025,28,39
D120007-01,11/1/2025,46,39
P120010-05-C,11/1/2025,65,39
P120002-01-C,11/1/2025,39,39
P120010-07-C,11/1/2025,40,39
B86002-09,11/1/2025,23,38
D104002-03,11/1/2025,55,38
B66004-01,11/1/2025,32,38
D129004-01,11/1/2025,37,37
D143001-01,11/1/2025,15,37
D116005-01,11/1/2025,14,37
B86007-09,11/1/2025,26,36
B86011-30,11/1/2025,42,36
P120002-04-C,11/1/2025,44,36
P120010-03-C,11/1/2025,28,36
B86012-26,11/1/2025,37,35
D104002-02,11/1/2025,34,35
B86003-05,11/1/2025,41,34
B86007-16,11/1/2025,29,34
B86013-05,11/1/2025,32,34
B86008-27,11/1/2025,30,34
D121008-03,11/1/2025,54,34
D121010-01,11/1/2025,42,34
D121007-01,11/1/2025,26,34
B145001-02,11/1/2025,66,34
D121015-03,11/1/2025,6,34
B86003-09,11/1/2025,24,33
B86002-05,11/1/2025,35,33
B131002-01,11/1/2025,7,33
B86002-10,11/1/2025,26,32
B86012-06,11/1/2025,21,32
B86010-26,11/1/2025,35,32
B86009-26,11/1/2025,28,32
B86012-30,11/1/2025,24,32
B86002-06,11/1/2025,22,32
D121009-01,11/1/2025,41,32
D121020-03,11/1/2025,20,32
C79005-01,11/1/2025,13,32
P120003-06-C,11/1/2025,33,32
B15206-01,11/1/2025,69,32
B15204-05,11/1/2025,55,32
B131002-03,11/1/2025,7,32
B86008-05,11/1/2025,31,31
B86008-08,11/1/2025,40,31
B86015-30,11/1/2025,36,31
B86012-09,11/1/2025,30,31
P120009-03-C,11/1/2025,27,31
P120002-06-C,11/1/2025,27,31
B15221-05,11/1/2025,55,31
R00002-09,11/1/2025,26,31
B86012-05,11/1/2025,33,30
B86003-29,11/1/2025,23,30
D093002-01,11/1/2025,41,30
T58023-02,11/1/2025,5,30
B86011-26,11/1/2025,36,29
B86014-30,11/1/2025,28,29
B86012-10,11/1/2025,24,29
B86008-07,11/1/2025,24,29
D143004-01,11/1/2025,19,29
D104005-01,11/1/2025,30,29
D116005-02,11/1/2025,5,29
B86007-10,11/1/2025,21,28
P56043-01-C,11/1/2025,13,28
D121017-04,11/1/2025,9,28
B15204-07,11/1/2025,121,28
D129008-01,11/1/2025,40,28
D086002-02,11/1/2025,33,27
B86013-01,11/1/2025,23,27
P56037-01-C,11/1/2025,13,27
D143003-01,11/1/2025,26,27
B145001-01,11/1/2025,89,27
B66001-01,11/1/2025,39,27
B15220-05,11/1/2025,41,27
R00002-02,11/1/2025,22,27
B86008-06,11/1/2025,16,26
B86007-05,11/1/2025,29,26
D086002-03,11/1/2025,27,26
B86008-16,11/1/2025,42,26
B86012-29,11/1/2025,25,26
P20001-28,11/1/2025,45,26
P56017-02-C,11/1/2025,10,26
F147006-01,11/1/2025,17,26
D120008-02,11/1/2025,7,26
B15204-01,11/1/2025,62,26
D143008-03,11/1/2025,31,26
R00002-01,11/1/2025,19,26
R00002-12,11/1/2025,26,26
B86003-19,11/1/2025,28,25
B86003-10,11/1/2025,19,25
B86008-09,11/1/2025,32,25
B86013-30,11/1/2025,25,25
B86015-16,11/1/2025,30,25
B86012-08,11/1/2025,31,25
B86012-01,11/1/2025,28,25
B86013-16,11/1/2025,28,25
B86007-08,11/1/2025,30,25
D140025-01,11/1/2025,7,25
D155001-04,11/1/2025,19,25
D104001-01,11/1/2025,25,25
P56072-01-C,11/1/2025,21,25
B86007-07,11/1/2025,21,24
B86015-26,11/1/2025,49,24
B86014-26,11/1/2025,48,24
B86007-30,11/1/2025,26,24
D121007-04,11/1/2025,21,24
B120007-02,11/1/2025,43,24
P56029-02-C,11/1/2025,16,24
B15218-02,11/1/2025,28,24
D121020-01,11/1/2025,24,24
B15206-04,11/1/2025,36,24
B86015-19,11/1/2025,23,23
B86014-09,11/1/2025,34,23
B86010-09,11/1/2025,20,23
B120007-01,11/1/2025,40,23
D126010-01,11/1/2025,27,23
T58032-01,11/1/2025,18,23
D121015-01,11/1/2025,25,23
D110002-01,11/1/2025,31,23
B15224-05,11/1/2025,24,23
F147003-01,11/1/2025,10,23
B86009-08,11/1/2025,22,22
B86011-08,11/1/2025,25,22
B86010-27,11/1/2025,21,22
B86002-02,11/1/2025,0,22
B86002-07,11/1/2025,26,22
P120004-01-C,11/1/2025,18,22
B15216-02,11/1/2025,42,22
D121019-03,11/1/2025,3,22
D116006-03,11/1/2025,5,22
B86015-06,11/1/2025,44,21
B86014-27,11/1/2025,13,21
B86003-27,11/1/2025,64,21
B86008-04,11/1/2025,18,21
B86007-29,11/1/2025,16,21
B86012-27,11/1/2025,23,21
B86008-10,11/1/2025,20,21
T58026-01,11/1/2025,46,21
B145002-01,11/1/2025,59,21
P84059-01-C,11/1/2025,26,21
F147008-01,11/1/2025,11,21
P84072-01-C,11/1/2025,29,21
B120001-02,11/1/2025,35,21
P84020-05-C,11/1/2025,19,21
P56048-01-C,11/1/2025,12,21
B86007-27,11/1/2025,21,20
B86010-30,11/1/2025,39,20
B86013-08,11/1/2025,24,20
B86010-07,11/1/2025,20,20
B86003-07,11/1/2025,31,20
D121010-04,11/1/2025,20,20
P56076-01-C,11/1/2025,23,20
D62020-01,11/1/2025,25,20
D84021-01,11/1/2025,23,20
B84002-01,11/1/2025,41,20
D116002-01,11/1/2025,17,20
B121025-05,11/1/2025,23,20
D121016-04,11/1/2025,12,20
D116006-02,11/1/2025,7,20
F147001-01,11/1/2025,18,20
D120007-02,11/1/2025,44,20
P120001-01-C,11/1/2025,32,20
B15206-08,11/1/2025,78,20
B15220-02,11/1/2025,23,20
B86015-04,11/1/2025,27,19
B86015-07,11/1/2025,33,19
B86009-29,11/1/2025,12,19
B86009-07,11/1/2025,20,19
B86008-32,11/1/2025,14,19
P126007-01-C,11/1/2025,16,19
B86104-01,11/1/2025,15,19
