Estimate Ship Date Date,Estimate ECSD Date,SKU,SKU Description,Expected Shipment Quantity
8/3/25,12/22/25,C82003-01,San Pedro Woven Bench,30
12/21/25,1/4/26,D116002-01,Azibo Woven Headboard - Full/Queen,5
12/21/25,1/4/26,D116004-01,Dowa Coffee Table,6
12/21/25,1/4/26,D116002-02,Azibo Woven Wall Hanging,15
12/21/25,1/4/26,D116001-02,Maravi Wall Hanging - Large,30
12/21/25,1/4/26,D116001-01,Maravi Wall Hanging - Medium,46
12/21/25,1/4/26,D116001-03,Maravi Wall Hanging S/2 (M & L),50
12/21/25,1/4/26,B116001-02,Rivi Storage Basket - Large,55
12/21/25,1/4/26,B116001-01,Rivi Storage Basket - Medium,57
12/21/25,1/4/26,D116002-01,Azibo Woven Headboard - Full/Queen,61
11/13/25,12/4/25,B132002-01,Padma Square Storage Basket - Medium,22
11/13/25,12/4/25,B132002-04,Padma Square Storage Basket - Small,22
11/13/25,12/4/25,B132002-03,Padma Square Storage Basket - Oversized,22
11/13/25,12/4/25,B132002-02,Padma Square Storage Basket - Large,22
11/13/25,12/4/25,B132003-01,Padma Round Storage Basket - Small,44
11/13/25,12/4/25,B132003-04,Padma Round Storage Basket - Oversized,44
11/13/25,12/4/25,B132003-02,Padma Round Storage Basket - Medium,44
11/13/25,12/4/25,B132003-03,Padma Round Storage Basket - Large,44
11/13/25,12/4/25,B132001-03,Padma Rectangle Storage Basket - Oversized,67
11/13/25,12/4/25,B132001-01,Padma Rectangle Storage Basket - Medium,67
11/13/25,12/4/25,B132001-02,Padma Rectangle Storage Basket - Large,67
11/13/25,12/4/25,B132001-04,Padma Rectangle Storage Basket - Small,67
11/28/25,12/19/25,D143014-01,Yashani Marble Sculpture,36
11/28/25,12/19/25,D143014-02,Anima Marble Bookends - Set of 2,50
11/28/25,12/19/25,D143014-08,Hari Stone and Wood Sculpture,58
11/28/25,12/19/25,D143006-01,Eshana Palo Santo Holder - Sandstone,63
11/28/25,12/19/25,D143005-01,Eshana Candleholders - S/2 - Sandstone,66
12/7/25,12/25/25,R141013-03,Lata Hand-Knotted Area Rug - 9x12 - Camel,3
12/7/25,12/25/25,R141010-09,Shakha Hand-Knotted Area Rug - 9x12 - Natural,5
12/7/25,12/25/25,R141011-08,Lata Hand-Knotted Area Rug - 10x14 - Beige,5
12/7/25,12/25/25,R141010-10,Shakha Hand-Knotted Area Rug - 10x14 - Natural,5
12/7/25,12/25/25,R141011-05,Lata Hand-Knotted Area Rug - 6x9 - Beige,7
12/7/25,12/25/25,R171017-01,Lalli Hand-Knotted Runner - 2.5x8 - Mushroom,8
12/7/25,12/25/25,R141011-07,Lata Hand-Knotted Area Rug - 9x12 - Beige,9
