SKU,DAILY ROS,ANNUAL UNITS
000004556-004-FL-S-002-B1,0.0,0.0
00004556-001-CK-M-001-B1,0.0,0.0
00004556-001-CK-M-001-B2,0.0,0.0
00004556-001-CK-M-001-B3,0.0,0.0
00004556-001-CK-M-002-B1,0.0,0.0
00004556-001-CK-M-002-B2,0.0,0.0
00004556-001-CK-M-002-B3,0.0,0.0
00004556-001-CK-M-003-B1,0.0,0.0
00004556-001-CK-M-003-B2,0.0,0.0
00004556-001-CK-M-003-B3,0.0,0.0
00004556-001-CK-M-004-B1,0.0,0.0
00004556-001-CK-M-004-B2,0.0,0.0
00004556-001-CK-M-004-B3,0.0,0.0
00004556-001-CK-M-005-B1,0.0,0.0
00004556-001-CK-M-005-B2,0.0,0.0
00004556-001-CK-M-005-B3,0.0,0.0
00004556-001-CK-M-006-B1,0.0,0.0
00004556-001-CK-M-006-B2,0.0,0.0
00004556-001-CK-M-006-B3,0.0,0.0
00004556-001-CK-M-007-B1,0.0,0.0
00004556-001-CK-M-007-B2,0.0,0.0
00004556-001-CK-M-007-B3,0.0,0.0
00004556-001-CK-W-001-B1,0.0,0.0
00004556-001-CK-W-001-B2,0.0,0.0
00004556-001-CK-W-001-B3,0.0,0.0
00004556-001-CK-W-002-B1,0.0,0.0
00004556-001-CK-W-002-B2,0.0,0.0
00004556-001-CK-W-002-B3,0.0,0.0
00004556-001-CK-W-003-B1,0.0,0.0
00004556-001-CK-W-003-B2,0.0,0.0
00004556-001-CK-W-003-B3,0.0,0.0
00004556-001-CK-W-004-B1,0.0,0.0
00004556-001-CK-W-004-B2,0.0,0.0
00004556-001-CK-W-004-B3,0.0,0.0
00004556-001-CK-W-005-B1,0.0,0.0
00004556-001-CK-W-005-B2,0.0,0.0
00004556-001-CK-W-005-B3,0.0,0.0
00004556-001-CK-W-006-B1,0.0,0.0
00004556-001-CK-W-006-B2,0.0,0.0
00004556-001-CK-W-006-B3,0.0,0.0
00004556-001-CK-W-007-B1,0.0,0.0
00004556-001-CK-W-007-B2,0.0,0.0
00004556-001-CK-W-007-B3,0.0,0.0
00004556-001-FL-M-001-B1,0.0,0.0
00004556-001-FL-M-001-B2,0.0,0.0
00004556-001-FL-M-001-B3,0.0,0.0
00004556-001-FL-M-002-B1,0.0,0.0
00004556-001-FL-M-002-B2,0.0,0.0
00004556-001-FL-M-002-B3,0.0,0.0
00004556-001-FL-M-003-B1,0.0,0.0
00004556-001-FL-M-003-B2,0.0,0.0
00004556-001-FL-M-003-B3,0.0,0.0
00004556-001-FL-M-004-B1,0.0,0.0
00004556-001-FL-M-004-B2,0.0,0.0
00004556-001-FL-M-004-B3,0.0,0.0
00004556-001-FL-M-005-B1,0.0,0.0
00004556-001-FL-M-005-B2,0.0,0.0
00004556-001-FL-M-005-B3,0.0,0.0
00004556-001-FL-M-006-B1,0.0,0.0
00004556-001-FL-M-006-B2,0.0,0.0
00004556-001-FL-M-006-B3,0.0,0.0
00004556-001-FL-M-007-B1,0.0,0.0
00004556-001-FL-M-007-B2,0.0,0.0
00004556-001-FL-M-007-B3,0.0,0.0
00004556-001-FL-W-001-B1,0.0,0.0
00004556-001-FL-W-001-B2,0.0,0.0
00004556-001-FL-W-001-B3,0.0,0.0
00004556-001-FL-W-002-B1,0.0,0.0
00004556-001-FL-W-002-B2,0.0,0.0
00004556-001-FL-W-002-B3,0.0,0.0
00004556-001-FL-W-003-B1,0.0,0.0
00004556-001-FL-W-003-B2,0.0,0.0
