SKU,ON_HAND_QTY,QTY_COMMITTED,QTY_BACKORDERED,UNFULFILLED_QTY,AVAILABLE_ON_HAND_QTY,CURRENT_INVENTORY_POSITION
R120041-01,0,0,0,0,0,0
0118316-010-U-W-009,0,0,0,0,0,0
R94001-03,0,0,0,0,0,0
0118316-010-U-W-008,0,0,0,0,0,0
0118316-007-U-W-004,0,0,0,0,0,0
R88016-03,0,0,0,0,0,0
B112002-01,0,0,0,0,0,0
D121004-02-Q2,0,0,0,0,0,0
P56059-02-C,0,0,0,0,0,0
B121021-06,0,0,0,0,0,0
D86001-02,0,0,0,0,0,0
B86023-07,0,0,0,0,0,0
D093001-01,0,0,0,0,0,0
T58009-01,0,0,0,0,0,0
B121009-04,0,0,0,0,0,0
R88019-02,0,0,0,0,0,0
R54024-01,0,0,0,0,0,0
R88028-06,0,0,0,0,0,0
B149003-01,0,0,0,0,0,0
R133001-04,0,0,0,0,0,0
B121022-05,0,0,0,0,0,0
B145004-02,0,0,0,0,0,0
D121003-01-Q2,0,0,0,0,0,0
D119008-01,0,0,0,0,0,0
B86006-07-K,0,0,0,0,0,0
R141022-08,0,0,0,0,0,0
P71003-02,0,0,0,0,0,0
R93011-01,0,0,0,0,0,0
TP53004-02,0,0,0,0,0,0
B86103-14-K,7,0,0,0,7,7
B121013-07,0,0,0,0,0,0
P108001-01-C,0,0,0,0,0,0
T67002-01,0,0,0,0,0,0
B80004-01,0,0,0,0,0,0
R93011-02,0,0,0,0,0,0
SS-R00012,0,0,0,0,0,0
P84057-01-C,0,0,0,0,0,0
P54007-01,0,0,0,0,0,0
SS-B86014-02,0,0,0,0,0,0
P15002-04,0,0,0,0,0,0
B117001-03,0,0,0,0,0,0
B86011-03,0,0,0,0,0,0
SS-C63001-01,0,0,0,0,0,0
SS-B86015-07,0,0,0,0,0,0
D10026-02-T,0,0,0,0,0,0
R84005-02,0,0,0,0,0,0
SS-B100005-01,0,0,0,0,0,0
R141030-08,0,0,0,0,0,0
R91001-02,0,0,0,0,0,0
B86002-02-K,0,0,0,0,0,0
D10000-02,0,0,0,0,0,0
T57002-01,0,0,0,0,0,0
P54009-01,0,0,0,0,0,0
R84008-06,0,0,0,0,0,0
D77008-01,0,0,0,0,0,0
S83006-03,0,0,0,0,0,0
SS-R00039,0,0,0,0,0,0
T58013-03-GW,0,0,0,0,0,0
R84007-01,0,0,0,0,0,0
B86016-34,0,0,0,0,0,0
D60004-01,0,0,0,0,0,0
P89001-01,0,0,0,0,0,0
C83005-02,0,0,0,0,0,0
R92002-01,0,0,0,0,0,0
TP53001-02,0,0,0,0,0,0
B86101-03,0,0,0,0,0,0
R54010-03-B,0,0,0,0,0,0
D121001-01-Q2,2,0,0,0,2,2
R141015-01,0,0,0,0,0,0
B83001-01-K,0,0,0,0,0,0
B121013-06,0,0,0,0,0,0
T61001-03,0,0,0,0,0,0
D120003-02,0,0,0,0,0,0
R93038-08,0,0,0,0,0,0
B121011-06-Q3,0,0,0,0,0,0
B86017-34,0,0,0,0,0,0
T57004-01,0,0,0,0,0,0
R92003-02,0,0,0,0,0,0
B121003-07,0,0,0,0,0,0
